見せる,みせる,to show; to display
日の入り,ひのいり,sunset
濡らす,ぬらす,to wet; to moisten; to dampen; to soak; to dip
ひねる,捻る,"to twist; to wrench; to turn (a switch on or off, etc.); to wring (a neck) / to puzzle over / to defeat easily"
覗く,のぞく,"to peek (though a keyhole, gap, etc.) / to look down into (a ravine, etc.) / to peek into (a shop, bookstore, etc.) / to sneak a look at; to take a quick look at / to peep (through a telescope, microscope, etc.) / to stick out (a scarf from a collar, etc.); to peek through (sky through a forest canopy, etc.) / to examine (an expression); to study (a face) / to face"
破れる,やぶれる,"to get torn; to tear; to rip; to break; to wear out / to be broken off (of negotiations, etc.); to break down; to collapse; to fall into ruin"
売り切れ,うりきれ,sold-out
売り切れる,うりきれる,to be sold out
這う,はう,to creep; to crawl
秤,はかり,scales; weighing machine
むく,剥く,to peel; to skin; to pare; to hull; to bare (e.g. fangs); to open wide (e.g. eyes)
はんこ,判子,seal (used for signature)
かぶせる,被せる,to cover (with something); to put on (e.g. on someone else's head); to plate something (with a metal); to pour or dash a liquid (on something); to charge (a person with a guilt)
肘,ひじ,elbow
必需品,ひつじゅひん,necessities; necessary article; requisite; essentials
敷く,しく,to spread out; to lay out / to take a position / to impose widely (e.g. over a city)
浮く,うく,"to float / to become merry; to be cheerful / to become loose; to become unsteady / to feel out of it; to be cut off (e.g. from those around you); to feel out of place / to be frivolous; to be uncertain / to have (time, money, etc.) left over; to be saved (e.g. money) / to have no basis; to be unreliable"
撫でる,なでる,to stroke; to caress; to brush gently; to pat; to rub / to comb (hair); to smooth down
風呂敷,ふろしき,wrapping cloth; cloth wrapper
副詞,ふくし,adverb
ものすごい,物凄い,earth-shattering; staggering; to a very great extent / terrible; frightful; horrible; ghastly
分数,ぶんすう,fraction
呆れる,あきれる,to be amazed; to be shocked; to be astonished; to be astounded; to be disgusted; to be exasperated
放れる,はなれる,to get free (from); to be freed; to be released
めいめい,銘々,each; individual
めちゃくちゃ,目茶苦茶,absurd; unreasonable; nonsensical; preposterous; incoherent / extreme; senseless; reckless; wanton / disorder; confusion; mess; wreck
めんどくさい,面倒臭い,bothersome; tiresome; bother to do
儲かる,もうかる,to be profitable; to yield a profit
儲ける,もうける,"to profit; to get; to earn; to gain / to have (bear, beget) a child / to have a stroke of luck"
やたら,矢鱈,indiscriminately; blindly; at random; recklessly; thoughtlessly; excessively; profusely / indiscriminate; random; excessive
溶く,とく,"to dissolve (paint); to scramble (eggs); to melt (metal, etc.); to mix (water with flour, etc.)"
溶ける,とける,to melt; to thaw; to fuse; to dissolve
略す,りゃくす,to abbreviate; to omit / to take; to capture
流行る,はやる,to be popular; to come into fashion / to be prevalent; to spread widely (e.g. disease); to be endemic / to flourish; to thrive
さすが,流石,as one would expect / still; all the same / even... (e.g. "even a genius...")
溜める,ためる,to amass; to accumulate; to store / to leave unpaid
たまる,溜まる,to collect; to gather; to save; to accumulate; to pile up
涼む,すずむ,to cool oneself; to cool off; to enjoy the cool air
冷ます,さます,to cool (e.g. from a high temperature to room temperature); to let cool / to dampen; to throw a damper on; to spoil
こぼす,零す,to spill; to drop; to shed (tears) / to grumble; to complain / to let one's feelings show
こぼれる,零れる,"to spill; to fall out of; to overflow / to peek through; to become visible (although normally not) / to escape (of a smile, tear, etc.)"
れんが,煉瓦,brick
朗らか,ほがらか,"cheerful; merry; sunny; melodious / bright (sky, day, etc.); fine; clear"
ろうそく,蝋燭,candle
もたれる,凭れる,to lean against; to lean on; to recline on / to lie heavy (on the stomach); to be uneasily digested
嗅ぐ,かぐ,to sniff; to smell
ささやく,囁く,to whisper; to murmur / to rumor; to rumour
はめる,嵌める,"to insert; to put in (such that there is a snug fit); to button; to put on (something that envelops, e.g. gloves, ring) / to have sex; to fuck / to pigeonhole (into a particular category) / to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs) / to entrap; to set someone up (e.g. frame them for a crime, etc.)"
ふざける,巫山戯る,to joke; to jest; to kid; to josh / to make fun of; to laugh at; to play a prank / to romp; to gambol; to frolic; to frisk; to mess around; to fool around; to screw around / to neck; to make out
ほうき,箒,broom
こしらえる,拵える,to make; to manufacture
もむ,揉む,to rub; to crumple / to massage / to argue; to have a heated discussion / to train; to coach / to jostle; to crowd; to shake; to rock / to have various experiences (out in the world)
からかう,揶揄う,to ridicule; to tease; to mock; to chaff; to razz; to banter with; to make fun of; to poke fun at; to make cracks about
ずるい,狡い,sly; cunning; dishonest; sneaky; crafty; unfair / miserly
かゆい,痒い,itchy
しびれる,痺れる,to become numb; to go to sleep (e.g. a limb) / to get an electric shock; to tingle (from an electric shock) / to be excited; to be titillated; to be mesmerized; to be enthralled
眩しい,まぶしい,dazzling; radiant
めまい,目眩,dizziness; giddiness; vertigo
にらむ,睨む,to glare at; to scowl at; to glower at / to stare intensely at; to examine carefully / to estimate; to guess; to suspect; to judge / to keep an eye on someone (e.g. a suspicious or untrustworthy person); to watch / to take account of; to take into consideration
へそ,臍,navel; belly button / protrusion or depression in the middle of an object / center; centre; most important part; main point
茹でる,ゆでる,"to boil (something in hot water) / to treat with medicinal steam (a swelling, etc.)"
くどい,諄い,verbose; importunate; wordy; repetitious; long-winded / heavy (taste); rich; strong; cloying; gaudy; loud
ためらう,躊躇う,to hesitate; to waver
つまずく,躓く,to stumble; to trip / to fail
うどん,饂飩,udon; thick Japanese wheat noodles
騙す,だます,to trick; to cheat; to deceive / to coax; to wheedle; to soothe and humor (humour)
それる,逸れる,to turn away; to bear off; to veer away; to swerve from; to miss (e.g. a target) / to deviate (e.g. of a conversation); to digress; to to go astray; to wander
傾く,かたむく,to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to / to go down (sun); to wane; to sink; to decline
剃る,そる,to shave
温める,あたためる,to warm; to heat
宛名,あてな,(addressee's) name; (recipient's) name and address
当てはめる,あてはめる,to apply; to adapt
いよいよ,愈々,more and more; all the more; increasingly / at last; finally; beyond doubt / (at the) last moment; worst possible time
打ち合わせ,うちあわせ,"advance arrangements; preparatory meeting; briefing session / overlap (of a coat, etc.) / making something match exactly"
おやつ,お八つ,between-meal snack / mid-afternoon (around 3 o'clock) snack; afternoon refreshment; afternoon tea
関わる,かかわる,to be affected; to be influenced / to be concerned with; to have to do with / to stick to (opinions)
書き取り,かきとり,writing down from other written material; writing kanji text from hiragana / transcription (of spoken material)
掛け算,かけざん,multiplication
仮名,かな,"kana; Japanese syllabary (i.e. hiragana, katakana)"
組み合わせ,くみあわせ,combination; assortment; set / matching (in a contest); pairing / combination
言付ける,ことづける,"to have someone send (a message, parcel, etc.); to send (via someone else); to leave (a message) with someone / to use as an excuse; to make a pretext of"
好き好き,すきずき,matter of taste
図々しい,ずうずうしい,impudent; shameless
せっかく,折角,with trouble; at great pains / rare; valuable; precious; long-awaited / kind; generous / specially; especially; expressly
そろばん,算盤,abacus
炊く,たく,"to cook (grains, e.g. rice) / to boil; to simmer; to stew; to seethe"
焚く,たく,to burn; to kindle; to light (a fire); to make (a fire) / to heat (a bath); to light (a stove); to stoke (a boiler) / to use (a camera flash)
なぞなぞ,謎々,riddle; puzzle; enigma
なんとなく,何となく,somehow or other; for some reason or another; without knowing why
匂う,におう,to be fragrant; to smell (good) / to stink; to smell (bad) / to glow; to be bright / to smack of; to show hints of
にわか,俄,sudden; abrupt; unexpected; improvised; hasty; offhand / impromptu skit
はがす,剥がす,to tear off; to peel off; to rip off; to strip off; to skin; to flay; to disrobe; to deprive of; to detach; to disconnect
引き算,ひきざん,subtraction
引き止める,ひきとめる,to detain; to check; to restrain
人差し指,ひとさしゆび,index finger; forefinger
ひとまず,一まず,for the present; once; in outline
ふさがる,塞がる,to be closed; to be blocked; to be healed (e.g. wound); to be shut up / to be clogged; to be plugged up / to be occupied; to be taken (e.g. accommodation)
塞ぐ,ふさぐ,"to stop up; to close up; to block (up); to plug up; to shut up; to cover (ears, eyes, etc.); to close (eyes, mouth) / to stand in the way; to obstruct / to occupy; to fill up; to take up / to perform one's role; to do one's duty / to feel depressed; to be in low spirits; to mope"
真っ黒,まっくろ,pitch black
もったいない,勿体ない,impious; profane; sacrilegious / too good; more than one deserves; unworthy of / wasteful
やかん,薬缶,kettle
よそ,余所,another place; somewhere else; strange parts / outside (one's family or group); those people / unrelated matter
湧く,わく,"to well (up); to gush forth (of water); to spring out; to surge / to appear (esp. suddenly) (sweat, tears, etc.) / to feel emotions form (joy, bravery, etc.) / to hatch (esp. of parasitic insects, etc.)"
詫びる,わびる,to apologize; to apologise
割り算,わりざん,division
めでたい,目出度い,happy; auspicious; propitious; joyous / naive
扇ぐ,あおぐ,to fan / to incite; to instigate
欧米,おうべい,Europe and America; the West
貸間,かしま,room to let; room for rent
紙屑,かみくず,wastepaper; paper scraps; paper waste
注す,さす,"to pour; to add (liquid); to serve (drinks) / to put on (lipstick, etc.); to apply; to colour; to dye / to light (a fire); to burn"
すまない,済まない,inexcusable; unjustifiable; unpardonable / sorry; remorseful; apologetic; conscience-stricken; contrite / excuse me; (I'm) sorry; thank you
是非とも,ぜひとも,by all means (with sense of not taking "no" for an answer)
ねじる,捩る,to screw; to twist / to distort; to parody; to make a pun / to torture; to wrest
まとまる,纏まる,to find resolution; to be settled; to be agreed on; to be completed / to be collected; to be assembled; to be brought together / to be well arranged; to be in order; to be unified; to take shape; to be coherent
恵まれる,めぐまれる,to be blessed with; to be rich in; to abound in
やむを得ない,やむをえない,cannot be helped; unavoidable
湯のみ,ゆのみ,teacup
割合に,わりあいに,comparatively
あれこれ,彼此,this and that; this or that; one thing or another; this way and that / around; about; round about; roughly; nearly; almost
お休み,おやすみ,holiday; day off; absence / sleep; rest / Good night
ちり紙,ちりがみ,tissue paper; toilet paper
お帰り,おかえり,return / welcome home
お代わり,おかわり,second helping; another cup; seconds / command to have dog place its second paw in one's hand
おはよう,お早う,good morning
馬鹿らしい,ばからしい,absurd
蒔く,まく,to sow; to plant; to seed / to sprinkle (gold or silver powder on lacquerware)
載る,のる,to be placed on; to be set on; to be piled on; to be loaded on / to appear (in print); to be mentioned; to be recorded; to be reported; to be given
とどまる,止まる,to remain; to abide; to stay (in the one place) / to be limited to; to be confined to
ぶつける,打付ける,"to hit (e.g. one's head); to strike; to crash into / to throw (e.g. a ball, a question, a demand) / to express; to vent (e.g. one's anger)"
くるむ,包む,to wrap up; to tuck in; to pack; to do up; to cover with; to dress in
亡くす,なくす,"to lose (through death) (e.g. wife, child)"
えっと,,let me see; well; errr ...; uhh ...
お願いします,おねがいします,please
お大事に,おだいじに,take care of yourself; get well soon; God bless you; bless you
どっと,,bursting out (laughter); breaking out (applause); roaring; whooping / in a rush; in a surge; flooding in; pouring in / suddenly; all of a sudden
ウェイトレス,,waitress
加熱,かねつ,heating; application of heat
原産,げんさん,place of origin; habitat
個体,こたい,individual; specimen
交通機関,こうつうきかん,transportation facilities
工員,こういん,factory worker
しょうがない,仕様がない,it can't be helped; it is inevitable; nothing can be done; there's no point (in doing something); there's no reason (to do something)
思いっきり,おもいっきり,with all one's strength; with all one's heart; to the utmost / resolution; decisiveness
手ごろ,てごろ,moderate; handy; convenient; reasonable
酒場,さかば,bar; pub; tavern
集金,しゅうきん,money collection
いとこ,従姉妹,cousin (female)
女の人,おんなのひと,woman
食塩,しょくえん,table salt
真空,しんくう,vacuum; hollow; empty
図鑑,ずかん,pictorial book; picture book; illustrated reference book; identification manual; field guide
貸家,かしや,house for rent
吐き気,はきけ,nausea; sickness in the stomach
膨らます,ふくらます,to swell; to expand; to inflate; to bulge
領事,りょうじ,consul
近々,ちかぢか,soon; nearness; before long
ねじ,捻子,"screw / key (of a clock, watch, etc.); spring (of a clock, watch, etc.)"
広々,ひろびろ,extensive; spacious
栓,せん,stopper; cork; stopcock
そういえば,そう言えば,"which reminds me ...; come to think of it ...; now that you mention it ...; on that subject ...; so, if you say ..."
割と,わりと,relatively; comparatively
ずらり,,in a row
せっせと,,diligently; assiduously; industriously; beavering away
いってらっしゃい,行ってらっしゃい,have a good day; take care; see you
イコール,,equal / the equality sign (=) / equals (A equals B)
ウーマン,,woman
エプロン,,apron / apron (airport) / apron (stage)
オイル,,oil; engine oil; kerosene
ガム,,chewing gum / gum; rubber
ギャング,,gang / gangster
コーラス,,chorus
コレクション,,collection / correction
サンプル,,sample; example; specimen / display model (e.g. plastic food models used by restaurants)
ショップ,,shop
スカーフ,,scarf
ストッキング,,stockings
ゼミ,,seminar
ダイアグラム,,diagram
チップ,,gratuity; tip / chip
テニスコート,,tennis court
バンド,,"band / to perform in a band; to create a (pop) band / The Bund (Shanghai, China)"
ビルディング,,building
フリー,,"free (of restraint, controls, etc.) / free (of cost) / freelance / one-size"
ブローチ,,brooch
モノレール,,monorail
専制,せんせい,despotism; autocracy
悔やむ,くやむ,to mourn; to lament / to be sorry; to regret; to repent
挟まる,はさまる,to get between; to be caught in
耕地,こうち,arable land
主語,しゅご,subject
習字,しゅうじ,penmanship
焦がす,こがす,to burn; to scorch; to singe; to char
正味,しょうみ,net weight / useful part; actual content / real; effective; full
憎い,にくい,hateful; abominable; poor-looking; detestable / amazing; fantastic; admirable; lovely; wonderful
足袋,たび,tabi; Japanese socks (with split toe)
速力,そくりょく,speed
特長,とくちょう,forte; merit
部首,ぶしゅ,radical (of a kanji character)
零点,れいてん,"zero (points, marks); no marks / zero (of a function); root / zero degrees (Celsius); freezing point"
夜行,やこう,walking around at night; night train; night travel
請う,こう,to beg; to ask; to request; to invite
見慣れる,みなれる,to become used to seeing; to be familiar with
言いつける,いいつける,to tell (to do); to order; to charge; to direct / to tell on (someone); to tattle; to report / to often say
通りかかる,とおりかかる,to happen to pass by
あくまで,飽く迄,to the end; to the bitter end; to the last; stubbornly; persistently; consistently; to the utmost / after all; it must be remembered; only; purely; simply
おかず,御数,"side dish; okazu; side dish (meat, fish, pickles, etc.) accompanying the rice in a typical Japanese meal / food for thought (esp. in the context of conversation, or material for assisting arousal during masturbation) / fill; fill-in (drumming)"
かるた,歌留多,karuta; traditional Japanese playing cards
逆さま,さかさま,inverted; upside down; reversed; back to front
明々後日,しあさって,in three days' time; two days after tomorrow
くわえる,銜える,to hold in one's mouth
かじる,噛る,to gnaw; to nibble; to bite; to munch; to crunch / to dabble in; to have a smattering of
やっつける,やっ付ける,to beat; to attack (an enemy); to do away with; to finish off
加速度,かそくど,acceleration
針路,しんろ,course; direction
激増,げきぞう,sudden increase
仕上がる,しあがる,to be finished; to be completed; to be done
煎る,いる,to parch; to fry; to fire; to broil; to roast; to boil down (in oil)
直流,ちょくりゅう,direct current; DC
同格,どうかく,the same rank; equality / apposition
坊や,ぼうや,boy
何々,なになに,"such and such (when being vague, placeholder, etc.); this and that / What?; What is the matter?; What are the items?"
話し中,はなしちゅう,busy (phone)
養分,ようぶん,nourishment; nutrient
お邪魔します,おじゃまします,excuse me for disturbing (interrupting) you; greeting used when entering someone's home
お先に,おさきに,before; previously / ahead / Pardon me for leaving (before you)
お待ち遠様,おまちどおさま,I'm sorry to have kept you waiting
こちらこそ,,it is I who should say so
こないだ,此間,the other day; lately; recently
しみじみ,沁み沁み,"keenly; deeply; fully; heartily; seriously; earnestly / calmly; quietly; softly / fixedly (e.g. gazing, staring)"
しゃぶる,,to suck; to lick
じゃんけん,じゃん拳,"rock, paper, scissors game"
そのため,その為,hence; for that reason
どうぞよろしく,どうぞ宜しく,pleased to meet you; how do you do / my regards (to someone); my greetings; best wishes; remember me to
はきはき,,briskly; smartly; promptly; clearly; lucidly
オーバコート,,overcoat
タイア,,tire; tyre
下線,かせん,underline; underscore
火口,かこう,crater; caldera / burner (e.g. on a furnace)
寒帯,かんたい,frigid zone
関東,かんとう,Kanto; region consisting of Tokyo and surrounding prefectures / Kanto; north-eastern half of Japan (during the feudal era)
形容動詞,けいようどうし,"adjectival noun (Japanese); quasi-adjective; nominal adjective; na-, taru-, nari- and tari-adjective"
つなげる,繋げる,to tie; to fasten; to connect; to transfer (phone call)
酌む,くむ,to pour (sake); to serve; to drink together
お出掛け,おでかけ,about to start out; just about to leave or go out / outing; trip
述語,じゅつご,predicate
順々,じゅんじゅん,in order; in turn
羨む,うらやむ,to envy
挿す,さす,to insert; to put in / to plant (a cutting); to strike / to arrange (flowers) / to wear (a sword) in one's belt / to shut; to close; to lock; to fasten
おおよそ,大凡,about; roughly; approximately / generally; on the whole; as a rule / completely; quite; entirely; altogether; totally; not at all (with neg. verb) / outline; gist
碗,わん,"bowl (ceramic, porcelain)"
あぶる,炙る,to warm (e.g. one's hands over a fire); to dry / to toast; to grill; to broil; to roast; to scorch
ぼろ,襤褸,"rag; scrap; tattered clothes / fault (esp. in a pretense, pretence); defect / run-down; shabby; junky"
一昨昨日,いっさくさくじつ,two days before yesterday; three days back (ago)
佚,いつ,being comfortable; relaxing
すれ違う,すれちがう,to pass by one another / to miss meeting each other; to miss each other / to disagree
先々月,せんせんげつ,month before last
点々,てんてん,here and there; little by little; sporadically; scattered in drops / dots; spots
ひっくり返す,ひっくりかえす,to turn over; to turn upside down; to turn up; to turn inside out; to turn out / to knock over; to tip over / to overturn (e.g. a decision); to upset; to reverse
潜る,もぐる,to dive (into or under water) / to get under; to get into; to get in; to creep into; to crawl under; to bury oneself; to burrow into; to dig oneself into; to snuggle under / to hide oneself (esp. from the government); to conceal oneself; to go underground
はじめまして,初めまして,How do you do?; I am glad to meet you
しんと,,silent (as the grave); deadly silent
なだらか,傾らか,gently sloping; gentle; easy / smooth
おめでたい,お目出度い,special; auspicious; happy / naive; innocent; good-natured; gullible; foolish
無沙汰,ぶさた,"not writing or contacting for a while; neglecting to write (call, visit, etc.); failing to write (call, visit, etc.); long silence"
攻め手,せめて,offense; offence; method of attack
洋品店,ようひんてん,shop that handles Western-style apparel and accessories
先先週,せんせんしゅう,week before last
店屋,みせや,store; shop
存ずる,ぞんずる,"to think, feel, consider, know, etc."
茶色い,ちゃいろい,light brown; tawny
通ずる,つうずる,"to be open (to traffic); to lead to; to communicate (with) / to flow (liquid, current); to pass; to get through to / to be understood; to be comprehended / to be honored; to be good / to be well versed in; to be well-informed / to communicate clandestinely; to keep in touch (e.g. with the enemy) / to form a liaison; to be intimate"
破く,やぶく,to tear; to rip
バイバイ,,bye-bye; good-bye; see you; so long / saying goodbye; parting
うんと,,a great deal; very much; a lot / with a great amount of effort
こうして,斯うして,thus; in this way
それなのに,,and yet; despite this; but even so; but even then; however; nevertheless; for all that; notwithstanding that
斜,はす,diagonal
行ってまいります,いってまいります,good bye; I'm off; see you later
お待たせしました,おまたせしました,Thank you for waiting; Have I kept you waiting?
お気の毒に,おきのどくに,my sympathies; that's too bad; my condolences
ばつ,,x-mark / impossibility; futility; uselessness
おかけください,お掛け下さい,please sit down; please have a seat
その頃,そのころ,at that time; in those days; at that moment; then
こらえる,堪える,to bear; to stand; to endure; to put up with / to restrain; to control; to keep a check on / to forgive; to put up with; to pardon
応援,おうえん,aid; assistance; help; reinforcement; rooting; barracking; support; cheering
下車,げしゃ,"alighting (from train, bus, etc.); getting off"
課税,かぜい,taxation
過程,かてい,process; course; mechanism
解放,かいほう,release; unleashing; liberation; emancipation; setting free / deallocation (of computer memory)
関西,かんさい,"Kansai; region consisting of Osaka, Kobe, Kyoto and surrounding prefectures / Kansai; south-western half of Japan (during the feudal era)"
基盤,きばん,foundation; basis; base; footing; infrastructure / bedrock / substrate (circuit board)
期限,きげん,term; period; time frame / time limit; deadline; cutoff (date)
継続,けいぞく,continuation
講師,こうし,lecturer
合同,ごうどう,combination; union; incorporation; amalgamation; fusion / congruence
撮影,さつえい,photography (still or motion); photographing; filming; shooting; (video) recording
指定,してい,designation; specification; assignment; appointment; pointing at
氏名,しめい,full name; identity
私立,しりつ,private (establishment)
児童,じどう,children; juvenile
勝負,しょうぶ,victory or defeat / match; contest; game; bout
新幹線,しんかんせん,Shinkansen; bullet train
申請,しんせい,application; request; petition
制作,せいさく,"work (film, book) / production; creation; turning (something) out; development"
相撲,すもう,sumo wrestling / wrestler; rikishi
追加,ついか,addition; supplement; appending; appendix
低下,ていか,fall; decline; lowering; deterioration; degradation
電力,でんりょく,electric power
東西,とうざい,"east and west / Orient and Occident; East and West / Ladies and Gentlemen!; Your attention, please!; roll-up, roll-up"
特定,とくてい,specific; particular; designated; special / specifying; designating; identifying; pinpointing
年度,ねんど,fiscal year (usu. April 1 to March 31 in Japan); financial year / academic year; school year / product year
売買,ばいばい,"trade; buying and selling; trafficking (e.g. of humans, arms, drugs); dealing"
迫る,せまる,to approach; to draw near; to be imminent / to press (someone for something); to urge; to compel
発売,はつばい,sale; offering for sale; release (for sale); launch (product)
付近,ふきん,neighbourhood; neighborhood; vicinity; environs / approaching
普及,ふきゅう,diffusion; spread; popularization; promulgation; familiarization
部品,ぶひん,parts; accessories; components
複数,ふくすう,plural; multiple; several
本来,ほんらい,originally; primarily / essentially; naturally; by nature; in (and of) itself / proper; legal
友好,ゆうこう,friendship
来日,らいにち,arrival in Japan; coming to Japan; visit to Japan
会館,かいかん,meeting hall; assembly hall
きっかけ,切っ掛け,chance; start; cue; excuse; motive; impetus; occasion
交代,こうたい,"alternation; change; relief; relay; shift; substitution (sports, etc.); taking turns"
話し合い,はなしあい,discussion; conference
意義,いぎ,meaning; significance
移転,いてん,"moving; relocation; change of address / transfer (of deeds, property, etc.); demise"
演劇,えんげき,drama; theatre; theater; play
火山,かざん,volcano
過半数,かはんすう,majority
解説,かいせつ,explanation; commentary; exposition; elucidation
改造,かいぞう,remodeling; remodelling; restructuring; reconstruction; reshuffling (e.g. cabinet) / modding
開会,かいかい,opening of a meeting
学会,がっかい,scientific society; academic meeting; academic conference
活躍,かつやく,activity (esp. energetic); great efforts; conspicuous service / to flourish; to participate actively; to play an active role
感想,かんそう,impressions; thoughts; feelings; reactions
研修,けんしゅう,training (esp. in-service); induction course
原理,げんり,principle; theory; fundamental truth
公害,こうがい,pollution; public nuisance; contamination
項目,こうもく,"(data) item; heading; clause / headword (in a dictionary, encyclopedia, etc.)"
高級,こうきゅう,high class; high grade / high rank; seniority
重点,じゅうてん,important point; emphasis; stress; importance; priority / iteration mark / colon (punctuation)
書店,しょてん,bookshop; bookstore
助教授,じょきょうじゅ,assistant professor; associate professor
商業,しょうぎょう,commerce; trade; business
商社,しょうしゃ,trading company; firm
小学生,しょうがくせい,elementary school student; primary school student; grade school student
賞金,しょうきん,prize; monetary award
森林,しんりん,forest; woods
深夜,しんや,late at night
正面,しょうめん,front; frontage; facade; main
製作,せいさく,manufacture; production
窓口,まどぐち,ticket window; teller window; counter / contact person; point of contact
大学院,だいがくいん,graduate school
短期,たんき,short-term
知人,ちじん,friend; acquaintance
地帯,ちたい,area; zone; belt (of land)
竹,たけ,bamboo (any grass of subfamily Bambusoideae) / middle (of a three-tier ranking system)
長女,ちょうじょ,eldest daughter; first-born daughter
定員,ていいん,"fixed number of regular personnel; staff quota; complement / capacity (of boat, hall, aeroplane, airplane, etc.)"
東洋,とうよう,Orient
統計,とうけい,statistics
特殊,とくしゅ,special; particular; peculiar; unique
入社,にゅうしゃ,joining a company; getting a job with a company; entering a company
農村,のうそん,agricultural community; farm village / rural
発想,はっそう,idea; conception; way of thinking / expression
反省,はんせい,reflection; reconsideration; introspection; meditation; contemplation / regret; repentance; remorse; being sorry
標準,ひょうじゅん,standard; level; norm
夫妻,ふさい,man and wife; married couple
保健,ほけん,health preservation; hygiene; sanitation
募集,ぼしゅう,"recruitment; invitation; selection; advertisement; taking applications / raising (funds, donations, etc.); collection; subscription; solicitation / flotation (of shares, loans, etc.)"
摩擦,まさつ,friction; rubbing; chafing / discord; friction; strife; conflict
面積,めんせき,square measure; size (e.g. of land); area; surface
予備,よび,reserve; spare / preparation; preliminaries
先頭,せんとう,head; lead; vanguard; first
中身,なかみ,contents; interior; substance; filling; (sword) blade
育児,いくじ,childcare; child-rearing; nursing; upbringing
一斉,いっせい,simultaneous; all at once
一段,いちだん,"more; much more; still more; all the more / step; rung; level; rank / paragraph; passage / ichidan (verb, verb conjugation)"
下旬,げじゅん,last third of a month; 21st to the last day of a month
回数,かいすう,number of times; frequency; count
海洋,かいよう,ocean
官庁,かんちょう,government office; government agency; authorities
看板,かんばん,signboard; sign; billboard; hoarding; doorplate / draw; attraction; feature; highlight; spokesman; figurehead / reputation (of a shop) / appearance; look / closing time
まもなく,間もなく,soon; before long; in a short time / lacking time to ...; without time to ...
給与,きゅうよ,pay; salary; wages / allowance; grant; supply; providing with
漁業,ぎょぎょう,fishing (industry)
競馬,けいば,horse racing
琴,こと,koto (13-stringed Japanese zither) / stringed instrument / zheng (Chinese zither); guzheng
形式,けいしき,form (as opposed to substance); formality / method; system; style / format; mode; appearance; form (something takes) / math expression
警備,けいび,defense; defence; guard; policing; security
芸能,げいのう,public entertainment; performing arts / accomplishments; attainments
血液,けつえき,blood
公表,こうひょう,official announcement; proclamation
工夫,くふう,scheme; device; scheming; devising; figuring out; coming up with; solving ingeniously / dedication to spiritual improvement (esp. through Zen meditation)
広場,ひろば,plaza; (public) square; piazza; forum; open space
行事,ぎょうじ,event; function
主役,しゅやく,leading part; leading actor; leading actress
終了,しゅうりょう,end; close; termination
商店,しょうてん,shop; small store; business; firm
将棋,しょうぎ,shogi; Japanese chess; xianqi
消極的,しょうきょくてき,negative; passive; half-hearted; unmotivated
上下,じょうげ,top and bottom; high and low; above and below; upper and lower ends; up and down / going up and down; rising and falling; fluctuating / going and coming back / upper and lower classes; ruler and ruled; the government and the people / first and second volumes
診断,しんだん,diagnosis; medical examination
推定,すいてい,presumption; assumption / estimation
宣伝,せんでん,publicity; advertisement; advertising; propaganda
地点,ちてん,site; point on a map; spot
中旬,ちゅうじゅん,middle of a month; second third of a month; 11th to 20th day of a month
電波,でんぱ,electromagnetic wave; radio wave; reception; signal / saying strange things
登場,とうじょう,entry (on stage); appearance (on screen) / entrance; introduction (into a market)
都心,としん,city centre (center) (esp. capital city); urban centre; heart of city a metropolis
当日,とうじつ,appointed day; very day
透明,とうめい,transparent; clear
農薬,のうやく,"agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.); agrochemical; agrichemical"
俳句,はいく,"haiku; 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae"
発電,はつでん,generation (e.g. power) / sending a telegram; telegraphing
未満,みまん,less than; insufficient
要旨,ようし,point; essentials; gist; summary; fundamentals
例外,れいがい,exception
率直,そっちょく,frank; candid; straightforward; openhearted; direct; outspoken
付属,ふぞく,attached; belonging (to); included; enclosed; affiliated; annexed; associated; subordinate; incidental; dependent; auxiliary
以後,いご,after this; from now on; hereafter / thereafter; since (then); after
往復,おうふく,making a round trip; going and returning; coming and going / round-trip ticket; return ticket / correspondence; exchanging (letters) / socializing; visiting one another
温泉,おんせん,hot spring / onsen; hot spring resort; hot spring spa
貨物,かもつ,cargo; freight / money or assets
外部,がいぶ,"outside (e.g. of a building); exterior / outside (of a group, company, etc.); outside world"
学科,がっか,"study subject; course of study / department (university, etc.)"
気配,けはい,indication; sign; hint; presence; trend / quotation (esp. stock market)
強気,つよき,confident; assured; self-assured; firm; strong; cocksure / bullish (e.g. market)
努める,つとめる,to endeavor (endeavour); to try; to strive; to make an effort; to exert oneself; to be diligent; to be committed (to doing something)
区域,くいき,limits; boundary; domain; zone; sphere; territory / area (e.g. in programming languages)
原稿,げんこう,manuscript; copy; draft; notes; contribution
高層,こうそう,multistory; multistoried; high-rise; high; tall
高度,こうど,altitude; height; elevation / high-degree; high-grade; advanced; sophisticated; strong
高等,こうとう,high class; high grade
国王,こくおう,king
作者,さくしゃ,author; authoress; writer; composer; artist
作成,さくせい,"drawing up (e.g. legal document, contract, will, etc.); preparing; writing; framing; making; producing; creating; creation"
死体,したい,dead body; corpse; cadaver
実用,じつよう,practical use; utility
縮小,しゅくしょう,reduction; curtailment
